celltype,gene,adj_p_val,lfc
Exc,PDIA2,0.817092068,0.529638296
Exc,F2,0.816119212,-0.242484605
Exc,CEACAM21,0.812011466,-0.01897988
Exc,ZNF23,0.811804766,0.399563829
Exc,IL18BP,0.811751406,0.747159453
Exc,NRN1L,0.811751406,0.940230461
Exc,NPHS2,0.81133432,0.536481554
Exc,ZNF572,0.811250529,0.862328881
Exc,RASL11A,0.81118011,1.207118246
Exc,TG,0.810607744,0.800039208
Exc,TMEM171,0.810043646,0.471479473
Exc,NYX,0.809813935,-0.128817338
Exc,CLSTN2,0.809068293,0.225949023
Exc,CABP7,0.808856688,-0.396286298
Exc,LYPD1,0.804808107,0.29024792
Exc,CD52,0.804041901,0.343227514
Exc,PPT2-EGFL8,0.802314428,0.641123815
Exc,UMOD,0.801875916,0.349200343
Exc,TLR10,0.80166585,0.693228446
Exc,RP4-583P15.14,0.801303035,1.387802739
Exc,RYR2,0.801076397,0.059362882
Exc,MASP1,0.801076397,0.377868074
Exc,OTX1,0.798526403,-0.018354953
Exc,GPX8,0.79809893,1.353107831
Exc,DEFA5,0.798094195,0.214759811
Exc,MYL7,0.79695721,0.735434896
Exc,PCDHB5,0.795838121,0.194823317
Exc,FGL1,0.79434483,1.057700754
Exc,UGT2B15,0.793617921,0.727733591
Exc,ALDH3A1,0.793418001,0.05191343
Exc,HIST1H4E,0.793112533,1.060470761
Exc,TMEM215,0.792767823,-0.14773895
Exc,MYPN,0.789368186,0.146334825
Exc,GGTLC2,0.784815743,0.839565112
Exc,LY6G6C,0.783828883,0.577243305
Exc,KIR3DX1,0.78344869,-0.572364739
Exc,DMRTA2,0.783178153,1.33056148
Exc,FAM159B,0.783178153,0.374093037
Exc,NEUROG2,0.783006902,0.748927074
Exc,POTEC,0.783006902,0.073221328
Exc,GZMA,0.782954594,1.040820957
Exc,LRRC3,0.782954594,-0.136162936
Exc,ZFP42,0.782922032,0.459580554
Exc,GIMAP8,0.782922032,-0.099718667
Exc,ASB10,0.782922032,0.025402804
Exc,AKR1C3,0.782922032,-0.265459553
Exc,TBC1D21,0.782922032,0.518510302
Exc,UNC45B,0.782922032,0.849331902
Exc,CYP2F1,0.782922032,0.526402304
Exc,DDO,0.78289012,2.644162154
Exc,TLR7,0.78289012,-0.252753809
Exc,CIDEB,0.78289012,-0.548722376
Exc,CCDC102A,0.78289012,-0.338715908
Exc,AP000295.9,0.78289012,1.672009663
Exc,CTD-2501B8.1,0.782759109,0.075713158
Exc,HLA-DQA1,0.782750705,-0.52664008
Exc,UBE2C,0.782750705,-0.704292849
Exc,AURKB,0.782619745,-0.607081898
Exc,FCGR2A,0.782616756,0.56979689
Exc,SFTA2,0.782246303,-0.14758403
Exc,GBX1,0.782234741,-0.404991195
Exc,AL356585.2,0.782097287,0.44017116
Exc,RSPH4A,0.781885701,-0.217647001
Exc,GBP6,0.781334345,1.010707508
